seleccion,elo,forma_pts,forma_dif_gol,gf_prom,gc_prom
Wales,1668.92339195434,1.2,0.1,1.6363636363636365,1.4
Republic of Ireland,1668.4799715144147,1.8,0.8,1.7818181818181817,0.6545454545454545
Jordan,1666.3131044741976,1.7,0.2,1.4,1.9454545454545455
Mali,1659.4021729588421,1.4,0.3,0.6363636363636364,0.9454545454545454
Cameroon,1656.8703027428396,1.7,0.3,1.0363636363636364,0.8363636363636363
Padania,1652.9522156117373,1.7,1.6,1.8727272727272728,1.018181818181818
Slovakia,1652.5672942980136,1.9,0.0,1.6727272727272726,1.8
Saudi Arabia,1644.7001113776396,1.3,-0.1,1.0545454545454545,1.2545454545454546
Burkina Faso,1641.3500321189472,1.7,0.5,1.6,1.490909090909091
New Zealand,1641.1913215827515,0.4,-1.1,0.7818181818181819,1.8909090909090909
Haiti,1637.359267831255,1.5,0.5,1.5636363636363637,0.9636363636363636
Kosovo,1635.8782971302464,1.7,0.3,1.6545454545454545,1.0363636363636364
Bolivia,1628.0463394518683,0.7,-1.4,0.8,2.2545454545454544
Romania,1627.1107348576952,1.4,0.1,1.6363636363636365,1.3272727272727274
Isle of Man,1622.604223899362,2.1,2.3,3.4909090909090907,1.3272727272727274
Honduras,1619.264141039294,1.1,0.0,0.8181818181818182,1.0
Jamaica,1616.362239431205,1.4,0.1,0.6909090909090909,0.8909090909090909
Israel,1616.1259082777701,1.7,0.2,1.690909090909091,1.6363636363636365
Ynys Môn,1611.9590666366028,2.7,1.1,1.9636363636363636,1.1090909090909091
United Arab Emirates,1610.2286210413906,1.2,-0.2,1.1454545454545455,1.6
Cape Verde,1608.2752346497448,1.6,0.4,1.4545454545454546,1.4727272727272727
Bosnia and Herzegovina,1607.7208535458515,1.3,0.4,1.2,0.9090909090909091
South Africa,1607.244309853927,1.4,0.0,0.8363636363636363,1.1636363636363636
Occitania,1605.1139128045058,2.4,2.7,2.690909090909091,0.6545454545454545
Iraqi Kurdistan,1601.491480355206,1.5,1.4,1.8181818181818181,0.8
Georgia,1601.416308247226,1.1,-0.4,1.4,1.4545454545454546
Catalonia,1589.9250577724351,1.9,1.0,1.9090909090909092,1.2363636363636363
North Macedonia,1588.160021686561,0.8,-1.0,0.38181818181818183,2.109090909090909
Isle of Wight,1587.381031348502,2.2,1.0,1.8545454545454545,1.0909090909090908
Ghana,1587.2759726441384,1.1,-0.3,0.8545454545454545,1.7454545454545454
Northern Cyprus,1583.6976298018874,2.0,2.0,2.6545454545454548,0.9090909090909091
Iceland,1582.4089070917546,0.6,-1.1,0.7818181818181819,2.0545454545454547
Northern Ireland,1581.8352473495124,1.3,-0.2,0.8,1.2363636363636363
Guatemala,1580.7556393801087,0.8,-1.4,1.0,3.036363636363636
Albania,1579.5525826083199,1.5,0.0,0.6181818181818182,1.1090909090909091
Oman,1571.820875360088,1.0,-0.4,0.6727272727272727,1.2727272727272727
Abkhazia,1566.111913132298,1.9,1.1,1.490909090909091,0.5272727272727272
Finland,1564.2959581739885,1.0,-0.6,1.1636363636363636,1.7272727272727273
Andalusia,1561.6789958366153,2.6,1.4,2.4545454545454546,0.9454545454545454
Syria,1559.9427287657031,1.8,1.1,1.3454545454545455,1.0909090909090908
Qatar,1557.5576074026458,0.7,-0.8,0.43636363636363634,1.2727272727272727
Kernow,1555.734419288236,2.3,1.8,2.7454545454545456,0.8545454545454545
Palestine,1553.4287329220638,0.9,-0.4,0.4727272727272727,0.7272727272727273
New Caledonia,1551.3671166381312,2.0,1.3,1.6,1.0909090909090908
Réunion,1550.516847040084,1.8,1.0,1.2,0.6909090909090909
County of Nice,1550.3286542881476,2.111111111111111,0.6666666666666666,2.2444444444444445,1.5555555555555556
Rhodes,1548.8106880782914,2.1,0.8,1.6727272727272726,0.9636363636363636
Guinea,1547.1584755890021,1.3,0.3,1.0727272727272728,1.0363636363636364
Angola,1547.0176569652979,1.4,0.3,1.3454545454545455,0.9272727272727272
Ellan Vannin,1545.4421011327318,1.5,0.2,1.7636363636363637,1.3636363636363635
Kárpátalja,1543.9957918710502,1.9,1.2,2.5454545454545454,1.0545454545454545
Suriname,1543.5115569474924,1.0,-0.1,1.4,1.3272727272727274
Belarus,1542.2246507276375,1.2,-0.8,1.709090909090909,1.490909090909091
Tamil Eelam,1535.6759480725336,2.4,1.4,3.1636363636363636,0.6727272727272727
Curaçao,1534.2160965370363,1.5,0.5,1.9636363636363636,1.7818181818181817
Gabon,1533.559081312103,1.1,-0.1,1.6,2.309090909090909
Kurdistan,1533.1510490667636,2.6,2.0,2.1333333333333333,0.2
Panjab,1532.800829868844,1.4,1.6,3.418181818181818,1.709090909090909
Corsica,1532.278258989259,1.7777777777777777,0.5555555555555556,1.0666666666666667,0.6
Benin,1531.3416988836336,1.0,-1.4,0.8,1.9090909090909092
China,1531.3209006349607,1.1,-0.4,0.9090909090909091,0.9454545454545454
Yorkshire,1530.2862399350256,2.2857142857142856,2.2857142857142856,3.7857142857142856,1.6785714285714286
Zambia,1529.9069354338803,0.5,-1.8,0.4909090909090909,2.3636363636363638
Arameans Suryoye,1529.1685140110137,1.7,0.4,1.6363636363636365,1.4181818181818182
Menorca,1523.9492648663877,1.4,0.6,1.5636363636363637,1.4727272727272727
Galicia,1521.1694075501423,1.2,-0.8,1.2363636363636363,2.2545454545454544
Uganda,1521.0503642243434,1.4,-0.1,1.1454545454545455,1.9636363636363636
Trinidad and Tobago,1520.9783469049942,0.7,-1.3,0.8363636363636363,2.8363636363636364
Artsakh,1520.764922121805,1.9,1.8,2.7454545454545456,1.290909090909091
Maule Sur,1519.4167345713752,3.0,1.0,1.0,0.0
Cascadia,1519.2745148061695,1.8571428571428572,1.2857142857142858,3.8214285714285716,2.0357142857142856
Thailand,1518.855226570982,2.0,1.4,2.3636363636363638,0.8727272727272727
North Korea,1517.4186041778987,0.4,-1.1,0.9272727272727272,2.3454545454545452
Bahrain,1516.982550512547,0.7,-0.8,1.0363636363636364,1.9090909090909092
Libya,1516.2313167073082,1.5,0.2,1.018181818181818,0.7636363636363637
Chameria,1514.9765602575878,1.5714285714285714,0.8571428571428571,1.9285714285714286,1.0714285714285714
Tahiti,1514.1701350437947,1.6,-0.2,1.1454545454545455,1.6181818181818182
Asturias,1513.3178709372953,3.0,2.0,3.0,1.0
Surrey,1511.9345842337816,3.0,2.0,3.0,1.0
Montenegro,1511.5257568573522,1.3,-0.7,1.6181818181818182,1.690909090909091
Crimea,1511.204766408514,1.8,-0.8,1.6666666666666667,2.066666666666667
Elba Island,1510.6925540200987,3.0,3.5,4.666666666666667,0.6666666666666666
Biafra,1510.6354120628318,2.0,0.3333333333333333,0.8333333333333334,0.16666666666666666
Brittany,1509.5081403406514,1.5,-0.1,1.2181818181818183,1.018181818181818
Quebec,1509.1460787251806,2.0,7.333333333333333,4.5,0.8333333333333334
Felvidék,1508.261700739664,1.4,-0.5,0.9636363636363636,1.1818181818181819
Donetsk PR,1508.2567510490182,1.3333333333333333,0.16666666666666666,1.4761904761904763,1.0
Gambia,1508.0523205075758,1.4,0.6,2.381818181818182,1.9454545454545455
Franconia,1506.874983600662,2.0,-1.0,2.6666666666666665,3.8333333333333335
Parishes of Jersey,1506.8449368827842,2.0,2.3333333333333335,4.833333333333333,1.5
Guadeloupe,1505.3036288977794,1.6,0.4,1.6,1.6363636363636365
Bulgaria,1505.2952548297083,1.0,-0.8,2.0545454545454547,1.8545454545454545
Canary Islands,1504.6184231379857,2.25,2.0,2.1,0.7
Sealand,1503.5198297506627,1.6,-0.1,2.8181818181818183,2.2545454545454544
Matabeleland,1500.8722284962516,1.375,-0.875,0.7777777777777778,0.9166666666666666
Monaco,1500.5141471240454,1.1,-1.6,1.0909090909090908,2.7818181818181817
Central Spain,1500.3669376095977,1.5,-1.0,1.0,1.3333333333333333
Mapuche,1500.28774368332,1.5,0.5,2.0,1.0
United Koreans in Japan,1499.6734775926216,1.2,1.1,1.8,0.7818181818181819
Délvidék,1498.2751366782782,1.5,0.5,1.6666666666666667,1.6666666666666667
Saugeais,1495.93836455697,1.0,0.0,1.0,1.0
Zanzibar,1495.8103747807963,2.0,0.5,1.1818181818181819,0.7636363636363637
Luhansk PR,1495.4413077329377,1.1666666666666667,-0.5,1.7619047619047619,2.238095238095238
Martinique,1492.9983620575908,0.7,-0.6,0.4727272727272727,1.0909090909090908
Cilento,1492.9375504195352,0.0,-2.0,0.0,2.0
Western Armenia,1492.8376941947504,1.4,0.7,1.8545454545454545,1.2181818181818183
Somaliland,1491.9634784391287,1.1666666666666667,-1.0,2.9047619047619047,3.380952380952381
El Salvador,1491.8506664998554,0.8,-0.9,0.45454545454545453,1.309090909090909
Ryūkyū,1489.8526696997856,0.0,-9.0,0.0,9.0
Yoruba Nation,1489.7483773372078,0.5,-0.5,0.3333333333333333,1.0
Silesia,1489.514328235232,1.375,0.875,3.2777777777777777,2.0
Åland Islands,1489.080941652386,1.0,-0.6,0.8,1.5454545454545454
Madrid,1488.5779837903883,0.0,-1.0,1.0,2.0
Mozambique,1487.4350454105313,1.0,-0.5,0.8363636363636363,1.8181818181818181
West Papua,1487.3036006320322,0.5,-3.0,1.3333333333333333,3.3333333333333335
Hmong,1487.0926404479983,1.0,-1.3333333333333333,2.1666666666666665,3.3333333333333335
Seborga,1486.9478588107058,0.0,-1.0,2.0,3.0
Malaysia,1485.8681255560743,2.3,1.3,2.272727272727273,0.5454545454545454
South Ossetia,1485.6101837436495,1.4,-0.9,1.6,1.509090909090909
Sudan,1485.335603767565,0.7,-1.2,0.5454545454545454,1.9090909090909092
Vietnam,1483.5719711791628,2.7,1.4,2.290909090909091,0.8
Niue,1483.4642768619499,0.0,-16.5,0.0,17.333333333333332
Chechnya,1483.4351945914416,0.3333333333333333,-8.666666666666666,1.1666666666666667,9.5
Shetland,1482.9878127931315,1.1,-0.2,2.090909090909091,1.8181818181818181
Romani people,1482.9401380384998,0.8571428571428571,-1.8571428571428572,1.5357142857142858,3.2857142857142856
East Turkestan,1481.9019628162187,1.2,-0.2,2.3333333333333335,3.6666666666666665
South Yemen,1481.8900196594518,0.0,-2.3333333333333335,0.3333333333333333,2.5
Kabylia,1481.0581138923724,0.8333333333333334,-1.1666666666666667,1.9047619047619047,1.7619047619047619
Aymara,1480.2955217453048,0.0,-1.5,0.3333333333333333,1.6666666666666667
Kenya,1479.0367047711734,1.5,-0.3,1.4,1.8727272727272728
Comoros,1478.9190667302594,0.7,-0.7,0.41818181818181815,0.8363636363636363
Madagascar,1477.4753942348984,1.6,-0.2,1.8,1.9454545454545455
Fiji,1477.4593276715043,0.6,-2.1,0.509090909090909,3.1454545454545455
Székely Land,1477.4087891622032,1.1,-0.1,2.5454545454545454,2.1272727272727274
Republic of St. Pauli,1475.7679760204114,1.0,1.25,2.2,1.5
Indonesia,1475.3572218026104,1.6,0.6,1.709090909090909,0.7454545454545455
Western Isles,1473.2793617899692,1.0,-0.8,1.309090909090909,1.5272727272727273
Sierra Leone,1471.8425834068278,1.4,0.0,1.1090909090909091,1.1272727272727272
Găgăuzia,1471.548040837674,0.3333333333333333,-2.3333333333333335,0.8333333333333334,2.8333333333333335
Palau,1471.3878712266023,0.0,-8.5,2.0,12.0
North Vietnam,1470.8192033850344,1.5,1.0,2.4,1.5818181818181818
Sápmi,1470.4536460915479,0.9,-0.9,1.1818181818181819,2.309090909090909
Zimbabwe,1470.0003011286346,1.1,-0.2,1.2727272727272727,1.2727272727272727
Guyana,1469.9174912658043,2.4,1.4,2.4545454545454546,0.9272727272727272
Kuwait,1468.8832052873831,1.0,-0.7,1.5636363636363637,2.0727272727272728
Ticino,1468.3175081349689,0.0,-5.5,1.0,6.0
Togo,1467.6204744129257,1.3,0.1,1.5818181818181818,0.9090909090909091
