date,tournament,tipo_torneo,home_team,away_team,home_score,away_score,neutral,elo_home,elo_away,elo_diff,home_forma_pts,home_forma_dif_gol,away_forma_pts,away_forma_dif_gol,home_gf_prom,home_gc_prom,away_gf_prom,away_gc_prom
2023-06-11,Friendly,amistoso,Chile,Cuba,3,0,False,1726.2295167282427,1487.6454237951991,338.5840929330436,0.6,-1.2,2.2,1.2,0.8,1.3818181818181818,1.8909090909090909,0.6363636363636364
2023-06-11,Friendly,amistoso,Guatemala,Trinidad and Tobago,0,1,True,1596.604967876292,1514.577913560897,82.02705431539493,1.4,0.1,1.7,0.7,1.6181818181818182,1.309090909090909,1.4545454545454546,0.6909090909090909
2023-06-12,Friendly,amistoso,Germany,Ukraine,3,3,False,1881.4529676513912,1773.4891965913234,207.96377106006776,1.5,0.5,1.7,0.7,2.018181818181818,1.5454545454545454,1.3272727272727274,0.9454545454545454
2023-06-12,Friendly,amistoso,Morocco,Cape Verde,0,0,False,1819.0746118771385,1577.35163377753,341.72297809960855,1.8,0.5,1.9,0.9,0.8909090909090909,0.7818181818181819,1.2363636363636363,0.4909090909090909
2023-06-13,CAFA Nations Cup,amistoso,Iran,Afghanistan,6,1,True,1800.1941437179037,1330.0262539932723,470.1678897246313,1.4,-0.3,1.0,-0.3,1.1818181818181819,1.4181818181818182,1.0909090909090908,1.6
2023-06-13,Friendly,amistoso,Curaçao,Costa Rica,0,0,True,1468.3836953973112,1751.3326079528506,-282.94891255553944,0.4,-2.0,1.9,-0.2,0.6363636363636364,3.1272727272727274,1.2545454545454546,1.8727272727272728
2023-06-14,CAFA Nations Cup,amistoso,Uzbekistan,Turkmenistan,2,0,False,1645.4618784608683,1431.5279733611726,313.9339050996957,2.3,1.6,1.3,-0.4,1.6181818181818182,0.34545454545454546,0.8909090909090909,1.4727272727272727
2023-06-14,African Cup of Nations qualification,eliminatoria,South Sudan,Gambia,2,3,True,1333.6593372985233,1510.8302113322716,-177.1708740337483,1.0,-0.5,1.5,-0.1,1.0363636363636364,1.4727272727272727,0.6,0.7636363636363637
2023-06-14,African Cup of Nations qualification,eliminatoria,Guinea,Egypt,1,2,True,1547.5328134186348,1721.280609211553,-173.74779579291817,1.1,-0.2,2.1,0.9,1.1636363636363636,1.1454545454545455,2.2181818181818183,0.6909090909090909
2023-06-14,African Cup of Nations qualification,eliminatoria,Guinea-Bissau,São Tomé and Príncipe,1,0,False,1477.0181607854886,1274.6999675251575,302.3181932603311,1.1,0.1,0.2,-2.7,1.2727272727272727,1.1818181818181819,0.9272727272727272,3.890909090909091
